Month,Opening Date,Title,Production Company,Genre
JUNE,21,Trigger Warning,Netflix/Thunder Road Films,"Action,Mystery,Thriller"
JUNE,21,Janet Planet,A24/BBC Film,"Drama,Fantasy,Sci-Fi"
JUNE,21,Blackwater Lane,Lionsgate/Grindstone Entertainment Group,"Horror,Mystery,Thriller"
JUNE,21,Thelma,Magnolia Pictures,"Comedy,Action"
JUNE,21,Chestnut,Utopia,"Drama,LGBTQ+"
JUNE,21,Green Border,Kino Świat,Drama
JUNE,21,She Rises Up,Sky Films,Documentary
JUNE,21,Agent Recon,Quiver Distribution,"Action,Sci-Fi"
JUNE,24,Blue Lock The Movie,Eight Bit,"Drama,Anime,Comedy,Sports"
JUNE,28,A Quiet Place: Day One,Paramount Pictures/Platinum Dunes/Sunday Night Productions,"Horror,Sci-Fi,Mystery,Thriller"
JUNE,28,Horizon: An American Saga – Chapter 1,Warner Bros. Pictures/New Line Cinema,"Western,History,Drama"
JUNE,28,A Family Affair,Netflix/Roth/Kirschenbaum Films,"Romance,Comedy"
JUNE,28,Reunion,Republic Pictures/Spyglass Media Group/Lionsgate,"Comedy,Mystery,Thriller"
JUNE,28,Daddio,Sony Pictures Classics,Drama
JUNE,28,Last Summer,SBS Productions,"Drama,Romance,Mystery,Thriller"
JUNE,28,A Sacrifice,Vertical/Scott Free Productions,"Drama,Mystery,Thriller"
JUNE,28,June Zero,Cohen Media Group,"History,Drama"
JUNE,28,Midas,Entertainment Squad,"Action,Crime,Drama,Mystery,Thriller"
JUNE,28,Family Portrait,Conjuring Productions / Insufficient Funds,"Holiday,Drama"
JULY,2,Little Deaths,Entertainment Squad,"Drama,Romance"
JULY,3,Despicable Me 4,Universal Pictures/Illumination,"Kids & Family,Comedy,Adventure,Animation"
JULY,3,Beverly Hills Cop: Axel F,Netflix/Don Simpson/Jerry Bruckheimer Films,"Action,Comedy,Crime"
JULY,3,The Secret Art of Human Flight,Level 33 Entertainment,"Comedy,Drama,Fantasy,Mystery,Thriller"
JULY,4,Sound of Hope: The Story of Possum Trot,Angel Studios/DailyWire+,Drama
JULY,4,Space Cadet,Amazon MGM Studios,Comedy
JULY,5,MaXXXine,A24/Access Entertainment,"Horror,Mystery,Thriller"
